Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.82     0.00        1     0.00     0.00  SetupTiming
  0.00      2.82     0.00        1     0.00     0.00  SetupVPR
  0.00      2.82     0.00        1     0.00     0.00  ShowAnnealSched
  0.00      2.82     0.00        1     0.00     0.00  ShowOperation
  0.00      2.82     0.00        1     0.00     0.00  ShowPlacerOpts
  0.00      2.82     0.00        1     0.00     0.00  ShowRoutingArch
  0.00      2.82     0.00        1     0.00     0.00  ShowSetup
  0.00      2.82     0.00        1     0.00     0.00  XmlReadArch
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_assign_internal_structures
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_clb_opins_used_locally
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_fanout_counts
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_for_fast_cost_update
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_perturb_ipins
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_pin_mappings
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_placement_structs
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_rr_clb_source
  0.00      2.82     0.00        1     0.00     0.42  alloc_and_load_rr_graph
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_rr_indexed_data
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_rr_node_indices
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_rr_node_route_structs
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_seg_details
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_timing_graph
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_timing_graph_levels
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_tnode_fanin_and_check_edges
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_tnodes_and_net_mapping
  0.00      2.82     0.00        1     0.00     0.00  alloc_and_load_unique_pin_list
  0.00      2.82     0.00        1     0.00     0.00  alloc_block
  0.00      2.82     0.00        1     0.00     0.00  alloc_crit
  0.00      2.82     0.00        1     0.00     0.00  alloc_delta_arrays
  0.00      2.82     0.00        1     0.00     0.47  alloc_lookups_and_criticalities
  0.00      2.82     0.00        1     0.00     0.00  alloc_net
  0.00      2.82     0.00        1     0.00     0.00  alloc_net_delay
  0.00      2.82     0.00        1     0.00     0.00  alloc_net_rr_terminals
  0.00      2.82     0.00        1     0.00     0.00  alloc_net_slack
  0.00      2.82     0.00        1     0.00     0.00  alloc_route_structs
  0.00      2.82     0.00        1     0.00     0.00  alloc_route_tree_timing_structs
  0.00      2.82     0.00        1     0.00     0.44  alloc_routing_structs
  0.00      2.82     0.00        1     0.00     0.00  alloc_timing_driven_route_structs
  0.00      2.82     0.00        1     0.00     0.44  build_rr_graph
  0.00      2.82     0.00        1     0.00     0.00  check_for_duplicate_block_names
  0.00      2.82     0.00        1     0.00     0.00  check_for_multiple_sink_connections
  0.00      2.82     0.00        1     0.00     0.00  check_netlist
  0.00      2.82     0.00        1     0.00     0.00  check_place
  0.00      2.82     0.00        1     0.00     0.00  check_rr_graph
  0.00      2.82     0.00        1     0.00     0.00  check_timing_graph
  0.00      2.82     0.00        1     0.00     0.47  compute_delay_lookup_tables
  0.00      2.82     0.00        1     0.00     0.03  compute_delta_arrays
  0.00      2.82     0.00        1     0.00     0.01  compute_delta_fb_to_fb
  0.00      2.82     0.00        1     0.00     0.01  compute_delta_fb_to_io
  0.00      2.82     0.00        1     0.00     0.01  compute_delta_io_to_fb
  0.00      2.82     0.00        1     0.00     0.01  compute_delta_io_to_io
  0.00      2.82     0.00        1     0.00     0.00  compute_net_pin_index_values
  0.00      2.82     0.00        1     0.00     0.00  count_connections
  0.00      2.82     0.00        1     0.00     0.00  ezxml_new
  0.00      2.82     0.00        1     0.00     0.00  ezxml_parse_fd
  0.00      2.82     0.00        1     0.00     0.00  ezxml_parse_file
  0.00      2.82     0.00        1     0.00     0.00  ezxml_parse_str
  0.00      2.82     0.00        1     0.00     0.00  ezxml_str2utf8
  0.00      2.82     0.00        1     0.00     0.00  freeArch
  0.00      2.82     0.00        1     0.00     0.00  free_and_reset_internal_structures
  0.00      2.82     0.00        1     0.00     0.00  free_crit
  0.00      2.82     0.00        1     0.00     0.00  free_fanout_counts
  0.00      2.82     0.00        1     0.00     0.00  free_fast_cost_update_structs
  0.00      2.82     0.00        1     0.00     0.00  free_int_list
  0.00      2.82     0.00        1     0.00     0.00  free_lookups_and_criticalities
  0.00      2.82     0.00        1     0.00     0.00  free_net_delay
  0.00      2.82     0.00        1     0.00     0.00  free_pin_mappings
  0.00      2.82     0.00        1     0.00     0.00  free_placement_structs
  0.00      2.82     0.00        1     0.00     0.00  free_route_structs
  0.00      2.82     0.00        1     0.00     0.00  free_route_tree_timing_structs
  0.00      2.82     0.00        1     0.00     0.00  free_routing_structs
  0.00      2.82     0.00        1     0.00     0.00  free_rr_node_indices
  0.00      2.82     0.00        1     0.00     0.00  free_rr_node_route_structs
  0.00      2.82     0.00        1     0.00     0.00  free_sblock_pattern_lookup
  0.00      2.82     0.00        1     0.00     0.00  free_seg_details
  0.00      2.82     0.00        1     0.00     0.00  free_timing_driven_route_structs
  0.00      2.82     0.00        1     0.00     0.00  free_timing_graph
  0.00      2.82     0.00        1     0.00     0.00  free_trace_structs
  0.00      2.82     0.00        1     0.00     0.00  free_type_pin_to_track_map
  0.00      2.82     0.00        1     0.00     0.00  free_type_track_to_ipin_map
  0.00      2.82     0.00        1     0.00     0.00  free_unique_pin_list
  0.00      2.82     0.00        1     0.00     0.00  get_delay_normalization_fac
  0.00      2.82     0.00        1     0.00     0.00  get_longest_segment_length
  0.00      2.82     0.00        1     0.00     0.00  get_max_pins_per_net
  0.00      2.82     0.00        1     0.00     0.00  get_seg_track_counts
  0.00      2.82     0.00        1     0.00     0.00  init_draw_coords
  0.00      2.82     0.00        1     0.00     0.00  init_route_structs
  0.00      2.82     0.00        1     0.00     0.00  initial_placement
  0.00      2.82     0.00        1     0.00     0.00  load_route_bb
  0.00      2.82     0.00        1     0.00     0.00  load_rr_indexed_data_base_costs
  0.00      2.82     0.00        1     0.00     0.00  load_simplified_device
  0.00      2.82     0.00        1     0.00     0.00  load_subblock_info_to_type
  0.00      2.82     0.00        1     0.00     0.00  my_srandom
  0.00      2.82     0.00        1     0.00     2.82  place_and_route
  0.00      2.82     0.00        1     0.00     0.00  post_place_sync
  0.00      2.82     0.00        1     0.00     0.00  print_place
  0.00      2.82     0.00        1     0.00     0.00  read_netlist
  0.00      2.82     0.00        1     0.00     0.00  reset_placement
  0.00      2.82     0.00        1     0.00     0.00  restore_original_device
  0.00      2.82     0.00        1     0.00     0.01  rr_graph_externals
  0.00      2.82     0.00        1     0.00     0.00  set_graphics_state
  0.00      2.82     0.00        1     0.00     0.00  setup_chan_width
  0.00      2.82     0.00        1     0.00     0.00  start_hash_table_iterator
  0.00      2.82     0.00        1     0.00     0.00  starting_t
  0.00      2.82     0.00        1     0.00     0.00  sync_nets_to_blocks
  0.00      2.82     0.00        1     0.00     2.82  try_place

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.35% of 2.82 seconds

index % time    self  children    called     name
                0.00    2.82       1/1           main [3]
[1]    100.0    0.00    2.82       1         place_and_route [1]
                0.00    2.82       1/1           try_place [2]
                0.00    0.00       1/1           print_place [315]
                0.00    0.00       1/1           post_place_sync [314]
-----------------------------------------------
                0.00    2.82       1/1           place_and_route [1]
[2]    100.0    0.00    2.82       1         try_place [2]
                0.30    2.01  869860/869998      try_swap [4]
                0.00    0.47       1/1           alloc_lookups_and_criticalities [6]
                0.02    0.00     124/124         load_net_slack [31]
                0.00    0.01     511/511         get_mst_of_net [40]
                0.01    0.00      15/15          recompute_bb_cost [52]
                0.00    0.00     138/139         comp_td_costs [54]
                0.00    0.00       1/1           check_place [55]
                0.00    0.00       1/2           comp_bb_cost [48]
                0.00    0.00       1/1           starting_t [59]
                0.00    0.00     124/124         load_timing_graph_net_delays [162]
                0.00    0.00     123/123         load_criticalities [164]
                0.00    0.00     123/123         update_screen [165]
                0.00    0.00     122/123         get_std_dev [163]
                0.00    0.00     122/122         exit_crit [166]
                0.00    0.00     121/121         update_t [168]
                0.00    0.00     121/121         update_rlim [167]
                0.00    0.00       2/383841      my_malloc [73]
                0.00    0.00       1/2           init_chan [210]
                0.00    0.00       1/1           alloc_and_load_placement_structs [251]
                0.00    0.00       1/1           initial_placement [309]
                0.00    0.00       1/1           init_draw_coords [307]
                0.00    0.00       1/1           compute_net_pin_index_values [274]
                0.00    0.00       1/1           count_connections [275]
                0.00    0.00       1/1           free_placement_structs [290]
                0.00    0.00       1/1           free_lookups_and_criticalities [287]
-----------------------------------------------
                                                 <spontaneous>
[3]    100.0    0.00    2.82                 main [3]
                0.00    2.82       1/1           place_and_route [1]
                0.00    0.00       1/1           PrintTitle [220]
                0.00    0.00       1/1           ReadOptions [229]
                0.00    0.00       1/1           IsTimingEnabled [219]
                0.00    0.00       1/1           SetupVPR [238]
                0.00    0.00       1/1           CheckOptions [214]
                0.00    0.00       1/1           CheckArch [213]
                0.00    0.00       1/1           CheckSetup [216]
                0.00    0.00       1/1           ShowSetup [243]
                0.00    0.00       1/1           set_graphics_state [319]
                0.00    0.00       1/1           freeArch [281]
-----------------------------------------------
                0.00    0.00     138/869998      starting_t [59]
                0.30    2.01  869860/869998      try_place [2]
[4]     81.8    0.30    2.01  869998         try_swap [4]
                0.49    0.46  848146/848146      comp_delta_td_cost [5]
                0.32    0.00  848146/848146      find_affected_nets [15]
                0.22    0.00 12628718/12629702     get_non_updateable_bb [17]
                0.18    0.00 15636765/15637785     get_net_cost [21]
                0.12    0.04 3008047/3008047     update_bb [22]
                0.11    0.00  386965/386965      update_td_cost [23]
                0.05    0.00  869998/869998      find_to [25]
                0.01    0.00  848146/848146      assess_swap [36]
                0.00    0.00 1267391/3022684     my_irand [71]
                0.00    0.00       4/383841      my_malloc [73]
-----------------------------------------------
                0.49    0.46  848146/848146      try_swap [4]
[5]     33.8    0.49    0.46  848146         comp_delta_td_cost [5]
                0.46    0.00 25424969/25584958     comp_td_point_to_point_delay [8]
-----------------------------------------------
                0.00    0.47       1/1           try_place [2]
[6]     16.7    0.00    0.47       1         alloc_lookups_and_criticalities [6]
                0.00    0.47       1/1           compute_delay_lookup_tables [7]
                0.00    0.00       1/1           alloc_and_load_timing_graph [254]
                0.00    0.00       1/1           alloc_net_delay [263]
                0.00    0.00       1/1           alloc_crit [260]
-----------------------------------------------
                0.00    0.47       1/1           alloc_lookups_and_criticalities [6]
[7]     16.7    0.00    0.47       1         compute_delay_lookup_tables [7]
                0.00    0.44       1/1           alloc_routing_structs [9]
                0.00    0.03       1/1           compute_delta_arrays [28]
                0.00    0.00       1/1           load_simplified_device [311]
                0.00    0.00       1/1           alloc_and_assign_internal_structures [245]
                0.00    0.00       1/1           setup_chan_width [320]
                0.00    0.00       1/1           get_longest_segment_length [304]
                0.00    0.00       1/1           alloc_delta_arrays [261]
                0.00    0.00       1/1           free_routing_structs [293]
                0.00    0.00       1/1           restore_original_device [318]
                0.00    0.00       1/1           free_and_reset_internal_structures [282]
-----------------------------------------------
                0.00    0.00  159989/25584958     comp_td_costs [54]
                0.46    0.00 25424969/25584958     comp_delta_td_cost [5]
[8]     16.5    0.47    0.00 25584958         comp_td_point_to_point_delay [8]
-----------------------------------------------
                0.00    0.44       1/1           compute_delay_lookup_tables [7]
[9]     15.6    0.00    0.44       1         alloc_routing_structs [9]
                0.00    0.44       1/1           build_rr_graph [10]
                0.00    0.00       1/478         assign_locations [114]
                0.00    0.00       1/1           alloc_route_structs [266]
                0.00    0.00       1/2           free_rr_graph [209]
                0.00    0.00       1/1           alloc_and_load_rr_node_route_structs [252]
                0.00    0.00       1/1           alloc_timing_driven_route_structs [268]
                0.00    0.00       1/1           init_route_structs [308]
-----------------------------------------------
                0.00    0.44       1/1           alloc_routing_structs [9]
[10]    15.6    0.00    0.44       1         build_rr_graph [10]
                0.00    0.42       1/1           alloc_and_load_rr_graph [11]
                0.00    0.01       1/1           rr_graph_externals [35]
                0.01    0.00       1/1           alloc_sblock_pattern_lookup [42]
                0.00    0.00     121/121         load_sblock_pattern_lookup [53]
                0.00    0.00       1/1           alloc_and_load_rr_node_indices [62]
                0.00    0.00       4/383841      my_malloc [73]
                0.00    0.00       3/3           alloc_and_load_pin_to_track_map [189]
                0.00    0.00       3/3           alloc_and_load_track_to_pin_lookup [190]
                0.00    0.00       2/2           alloc_and_load_actual_fc [204]
                0.00    0.00       2/437         alloc_matrix [130]
                0.00    0.00       2/430         free_matrix [132]
                0.00    0.00       1/1           alloc_and_load_seg_details [253]
                0.00    0.00       1/1           alloc_and_load_perturb_ipins [249]
                0.00    0.00       1/1           check_rr_graph [272]
                0.00    0.00       1/1           free_seg_details [297]
